2023-09-16T15:09:02.633+0530 [INFO]  provider: configuring client automatic mTLS
2023-09-16T15:09:03.161+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_iam_user_ssh_key tf_rpc=GetProviderSchema tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws timestamp=2023-09-16T15:09:03.161+0530
2023-09-16T15:09:03.162+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_lakeformation_data_lake_settings @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_rpc=GetProviderSchema timestamp=2023-09-16T15:09:03.161+0530
2023-09-16T15:09:03.162+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_resource_type=aws_lambda_function tf_rpc=GetProviderSchema timestamp=2023-09-16T15:09:03.161+0530
2023-09-16T15:09:03.162+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_pinpoint_event_stream @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_rpc=GetProviderSchema timestamp=2023-09-16T15:09:03.161+0530
2023-09-16T15:09:03.162+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_s3_bucket_replication_configuration tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws @module=sdk.helper_schema timestamp=2023-09-16T15:09:03.161+0530
2023-09-16T15:09:03.162+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_rpc=GetProviderSchema tf_mux_provider=*schema.GRPCProviderServer tf_resource_type=aws_appconfig_hosted_configuration_version timestamp=2023-09-16T15:09:03.162+0530
2023-09-16T15:09:03.162+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_provider_addr=registry.terraform.io/hashicorp/aws tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_glue_job tf_mux_provider=*schema.GRPCProviderServer timestamp=2023-09-16T15:09:03.162+0530
2023-09-16T15:09:03.162+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_provider_addr=registry.terraform.io/hashicorp/aws @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_vpclattice_service_network tf_rpc=GetProviderSchema timestamp=2023-09-16T15:09:03.162+0530
2023-09-16T15:09:03.162+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_servicecatalog_product tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer timestamp=2023-09-16T15:09:03.162+0530
2023-09-16T15:09:03.163+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @module=sdk.helper_schema tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_dx_connection_association timestamp=2023-09-16T15:09:03.162+0530
2023-09-16T15:09:03.163+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_resource_type=aws_vpc_endpoint_service_allowed_principal tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_rpc=GetProviderSchema timestamp=2023-09-16T15:09:03.162+0530
2023-09-16T15:09:03.163+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_mux_provider=*schema.GRPCProviderServer @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_sagemaker_monitoring_schedule tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 timestamp=2023-09-16T15:09:03.162+0530
2023-09-16T15:09:03.163+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_sagemaker_workteam @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_rpc=GetProviderSchema @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer timestamp=2023-09-16T15:09:03.162+0530
